"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2021","80.28","80.28","80.28","80.28","","-0.04%"
"11/29/2021","80.31","80.31","80.31","80.31","","0.28%"
"11/26/2021","80.08","80.08","80.08","80.08","","-1.38%"
"11/24/2021","81.20","81.20","81.20","81.20","","-0.02%"
"11/23/2021","81.22","81.22","81.22","81.22","","0.83%"
"11/22/2021","80.55","80.55","80.55","80.55","","0.27%"
"11/19/2021","80.33","80.33","80.33","80.33","","-0.96%"
"11/18/2021","81.11","81.11","81.11","81.11","","0.43%"
"11/17/2021","80.76","80.76","80.76","80.76","","-1.11%"
"11/16/2021","81.67","81.67","81.67","81.67","","0.32%"
"11/15/2021","81.41","81.41","81.41","81.41","","-0.09%"
"11/12/2021","81.48","81.48","81.48","81.48","","-0.23%"
"11/11/2021","81.67","81.67","81.67","81.67","","0.49%"
"11/10/2021","81.27","81.27","81.27","81.27","","-1.59%"
"11/09/2021","82.58","82.58","82.58","82.58","","1.18%"
"11/08/2021","81.62","81.62","81.62","81.62","","0.84%"
"11/05/2021","80.94","80.94","80.94","80.94","","2.52%"
"11/04/2021","78.95","78.95","78.95","78.95","","-1.51%"
"11/03/2021","80.16","80.16","80.16","80.16","","-2.88%"
"11/02/2021","82.54","82.54","82.54","82.54","","0.18%"
"11/01/2021","82.38","82.38","82.38","82.38","","0.98%"
"10/29/2021","81.58","81.58","81.58","81.58","","0.04%"
"10/28/2021","81.55","81.55","81.55","81.55","","-0.06%"
"10/27/2021","81.60","81.60","81.60","81.60","","-0.27%"
"10/26/2021","81.82","81.82","81.82","81.82","","0.11%"
"10/25/2021","81.73","81.73","81.73","81.73","","0.14%"
"10/22/2021","81.61","81.61","81.61","81.61","","0.22%"
"10/21/2021","81.44","81.44","81.44","81.44","","-0.46%"
"10/20/2021","81.81","81.81","81.81","81.81","","0.24%"
"10/19/2021","81.61","81.61","81.61","81.61","","0.37%"
"10/18/2021","81.31","81.31","81.31","81.31","","-0.24%"
"10/15/2021","81.51","81.51","81.51","81.51","","0.69%"
"10/14/2021","80.95","80.95","80.95","80.95","","0.63%"
"10/13/2021","80.45","80.45","80.45","80.45","","-0.17%"
"10/12/2021","80.58","80.58","80.58","80.58","","-0.12%"
"10/11/2021","80.68","80.68","80.68","80.68","","1.15%"
"10/08/2021","79.76","79.76","79.76","79.76","","0.39%"
"10/07/2021","79.45","79.45","79.45","79.45","","0.96%"
"10/06/2021","78.69","78.69","78.69","78.69","","-1.28%"
"10/05/2021","79.71","79.71","79.71","79.71","","1.51%"
"10/04/2021","78.52","78.52","78.52","78.52","","2.29%"
"10/01/2021","76.77","76.77","76.77","76.77","","5.73%"
"09/30/2021","72.61","72.61","72.61","72.61","","0.05%"
"09/29/2021","72.57","72.57","72.57","72.57","","-0.08%"
"09/28/2021","72.63","72.63","72.63","72.63","","0.02%"
"09/27/2021","72.61","72.61","72.61","72.61","","0.22%"
"09/24/2021","72.45","72.45","72.45","72.45","","0.13%"
"09/23/2021","72.35","72.35","72.35","72.35","","0.29%"
"09/22/2021","72.14","72.14","72.14","72.14","","0.79%"
"09/21/2021","71.57","71.57","71.57","71.57","","0.30%"
"09/20/2021","71.36","71.36","71.36","71.36","","-0.78%"
"09/17/2021","71.92","71.92","71.92","71.92","","-0.22%"
"09/16/2021","72.07","72.07","72.07","72.07","","-0.02%"
"09/15/2021","72.09","72.09","72.09","72.09","","1.26%"
"09/14/2021","71.19","71.19","71.19","71.19","","0.12%"
"09/13/2021","71.11","71.11","71.11","71.11","","0.58%"
"09/10/2021","70.70","70.70","70.70","70.70","","1.54%"
"09/09/2021","69.63","69.63","69.63","69.63","","-1.06%"
"09/08/2021","70.38","70.38","70.38","70.38","","0.96%"
"09/07/2021","69.71","69.71","69.71","69.71","","-1.32%"
"09/03/2021","70.64","70.64","70.64","70.64","","-0.81%"
"09/02/2021","71.22","71.22","71.22","71.22","","1.85%"
"09/01/2021","69.92","69.92","69.92","69.92","","0.63%"
"08/31/2021","69.49","69.49","69.49","69.49","","0.03%"
"08/30/2021","69.46","69.46","69.46","69.46","","0.03%"
"08/27/2021","69.44","69.44","69.44","69.44","","0.29%"
"08/26/2021","69.24","69.24","69.24","69.24","","-0.31%"
"08/25/2021","69.45","69.45","69.45","69.45","","0.21%"
"08/24/2021","69.31","69.31","69.31","69.31","","0.80%"
"08/23/2021","68.76","68.76","68.76","68.76","","1.72%"
"08/20/2021","67.60","67.60","67.60","67.60","","-0.63%"
"08/19/2021","68.03","68.03","68.03","68.03","","-1.33%"
"08/18/2021","68.95","68.95","68.95","68.95","","-0.56%"
"08/17/2021","69.33","69.33","69.33","69.33","","-0.28%"
"08/16/2021","69.53","69.53","69.53","69.53","","-0.75%"
"08/13/2021","70.05","70.05","70.05","70.05","","-0.55%"
"08/12/2021","70.44","70.44","70.44","70.44","","0.02%"
"08/11/2021","70.42","70.42","70.42","70.42","","1.02%"
"08/10/2021","69.71","69.71","69.71","69.71","","1.78%"
"08/09/2021","68.49","68.49","68.49","68.49","","-1.79%"
"08/06/2021","69.74","69.74","69.74","69.74","","-0.68%"
"08/05/2021","70.22","70.22","70.22","70.22","","1.21%"
"08/04/2021","69.39","69.39","69.39","69.39","","-2.20%"
"08/03/2021","70.95","70.95","70.95","70.95","","-0.60%"
"08/02/2021","71.37","71.37","71.37","71.37","","-2.10%"
"07/30/2021","72.90","72.90","72.90","72.90","","0.01%"
"07/29/2021","72.89","72.89","72.89","72.89","","0.11%"
"07/28/2021","72.81","72.81","72.81","72.81","","0.00%"
"07/27/2021","72.81","72.81","72.81","72.81","","-0.03%"
"07/26/2021","72.83","72.83","72.83","72.83","","-0.05%"
"07/23/2021","72.87","72.87","72.87","72.87","","0.08%"
"07/22/2021","72.81","72.81","72.81","72.81","","0.73%"
"07/21/2021","72.28","72.28","72.28","72.28","","1.40%"
"07/20/2021","71.28","71.28","71.28","71.28","","0.39%"
"07/19/2021","71.01","71.01","71.01","71.01","","-2.62%"
"07/16/2021","72.92","72.92","72.92","72.92","","0.12%"
"07/15/2021","72.83","72.83","72.83","72.83","","-0.89%"
"07/14/2021","73.48","73.48","73.48","73.48","","-1.18%"
"07/13/2021","74.36","74.36","74.36","74.36","","1.12%"
"07/12/2021","73.54","73.54","73.54","73.54","","-0.24%"
"07/09/2021","73.72","73.72","73.72","73.72","","1.57%"
"07/08/2021","72.58","72.58","72.58","72.58","","0.68%"
"07/07/2021","72.08","72.08","72.08","72.08","","-1.16%"
"07/06/2021","72.93","72.93","72.93","72.93","","-1.76%"
"07/02/2021","74.23","74.23","74.23","74.23","","0.48%"
"07/01/2021","73.88","73.88","73.88","73.88","","3.23%"
"06/30/2021","71.57","71.57","71.57","71.57","","0.00%"
"06/29/2021","71.57","71.57","71.57","71.57","","0.05%"
"06/28/2021","71.54","71.54","71.54","71.54","","-0.16%"
"06/25/2021","71.65","71.65","71.65","71.65","","0.08%"
"06/24/2021","71.60","71.60","71.60","71.60","","0.11%"
"06/23/2021","71.52","71.52","71.52","71.52","","0.15%"
"06/22/2021","71.41","71.41","71.41","71.41","","-0.09%"
"06/21/2021","71.48","71.48","71.48","71.48","","0.57%"
"06/18/2021","71.07","71.07","71.07","71.07","","0.19%"
"06/17/2021","70.94","70.94","70.94","70.94","","-0.87%"
"06/16/2021","71.56","71.56","71.56","71.56","","0.24%"
"06/15/2021","71.39","71.39","71.39","71.39","","0.86%"
"06/14/2021","70.78","70.78","70.78","70.78","","0.24%"
"06/11/2021","70.61","70.61","70.61","70.61","","0.13%"
"06/10/2021","70.52","70.52","70.52","70.52","","0.25%"
"06/09/2021","70.34","70.34","70.34","70.34","","-0.03%"
"06/08/2021","70.36","70.36","70.36","70.36","","0.75%"
"06/07/2021","69.84","69.84","69.84","69.84","","-0.27%"
"06/04/2021","70.03","70.03","70.03","70.03","","0.81%"
"06/03/2021","69.47","69.47","69.47","69.47","","-0.04%"
"06/02/2021","69.50","69.50","69.50","69.50","","1.47%"
"06/01/2021","68.49","68.49","68.49","68.49","","3.34%"
"05/28/2021","66.28","66.28","66.28","66.28","","-0.06%"
"05/27/2021","66.32","66.32","66.32","66.32","","-0.03%"
"05/26/2021","66.33","66.33","66.33","66.33","","0.05%"
"05/25/2021","66.30","66.30","66.30","66.30","","0.06%"
"05/24/2021","66.26","66.26","66.26","66.26","","0.82%"
"05/21/2021","65.73","65.73","65.73","65.73","","0.51%"
"05/20/2021","65.39","65.39","65.39","65.39","","-0.79%"
"05/19/2021","65.92","65.92","65.92","65.92","","-1.09%"
"05/18/2021","66.64","66.64","66.64","66.64","","-0.27%"
"05/17/2021","66.82","66.82","66.82","66.82","","0.74%"
"05/14/2021","66.33","66.33","66.33","66.33","","1.39%"
"05/13/2021","65.42","65.42","65.42","65.42","","-2.02%"
"05/12/2021","66.77","66.77","66.77","66.77","","0.68%"
"05/11/2021","66.32","66.32","66.32","66.32","","0.18%"
"05/10/2021","66.20","66.20","66.20","66.20","","0.09%"
"05/07/2021","66.15","66.15","66.15","66.15","","0.21%"
"05/06/2021","66.01","66.01","66.01","66.01","","-0.97%"
"05/05/2021","66.65","66.65","66.65","66.65","","0.47%"
"05/04/2021","66.35","66.35","66.35","66.35","","2.03%"
"05/03/2021","65.03","65.03","65.03","65.03","","3.39%"
"04/30/2021","62.89","62.89","62.89","62.89","","0.00%"
"04/29/2021","62.90","62.90","62.90","62.90","","0.13%"
"04/28/2021","62.81","62.81","62.81","62.81","","0.11%"
"04/27/2021","62.75","62.75","62.75","62.75","","0.21%"
"04/26/2021","62.62","62.62","62.62","62.62","","-0.30%"
"04/23/2021","62.80","62.80","62.80","62.80","","0.19%"
"04/22/2021","62.68","62.68","62.68","62.68","","-0.05%"
"04/21/2021","62.71","62.71","62.71","62.71","","-0.81%"
"04/20/2021","63.23","63.23","63.23","63.23","","-0.39%"
"04/19/2021","63.47","63.47","63.47","63.47","","0.09%"
"04/16/2021","63.42","63.42","63.42","63.42","","-0.10%"
"04/15/2021","63.48","63.48","63.48","63.48","","0.34%"
"04/14/2021","63.26","63.26","63.26","63.26","","2.82%"
"04/13/2021","61.53","61.53","61.53","61.53","","0.37%"
"04/12/2021","61.30","61.30","61.30","61.30","","0.19%"
"04/09/2021","61.19","61.19","61.19","61.19","","-0.45%"
"04/08/2021","61.47","61.47","61.47","61.47","","0.02%"
"04/07/2021","61.46","61.46","61.46","61.46","","0.82%"
"04/06/2021","60.96","60.96","60.96","60.96","","0.41%"
"04/05/2021","60.71","60.71","60.71","60.71","","-4.05%"
"04/01/2021","63.27","63.27","63.27","63.27","","-1.78%"
"03/31/2021","64.41","64.41","64.41","64.41","","0.01%"
"03/30/2021","64.41","64.41","64.41","64.41","","-0.02%"
"03/29/2021","64.42","64.42","64.42","64.42","","-0.02%"
"03/26/2021","64.43","64.43","64.43","64.43","","0.61%"
"03/25/2021","64.05","64.05","64.05","64.05","","-0.71%"
"03/24/2021","64.50","64.50","64.50","64.50","","1.23%"
"03/23/2021","63.72","63.72","63.72","63.72","","-1.52%"
"03/22/2021","64.71","64.71","64.71","64.71","","0.21%"
"03/19/2021","64.57","64.57","64.57","64.57","","1.05%"
"03/18/2021","63.90","63.90","63.90","63.90","","-2.84%"
"03/17/2021","65.77","65.77","65.77","65.77","","-0.43%"
"03/16/2021","66.05","66.05","66.05","66.05","","-0.49%"
"03/15/2021","66.38","66.38","66.38","66.38","","-0.19%"
"03/12/2021","66.50","66.50","66.50","66.50","","-0.22%"
"03/11/2021","66.65","66.65","66.65","66.65","","1.69%"
"03/10/2021","65.54","65.54","65.54","65.54","","0.26%"
"03/09/2021","65.37","65.37","65.37","65.37","","-0.70%"
"03/08/2021","65.84","65.84","65.84","65.84","","-1.58%"
"03/05/2021","66.89","66.89","66.89","66.89","","3.23%"
"03/04/2021","64.80","64.80","64.80","64.80","","3.59%"
"03/03/2021","62.55","62.55","62.55","62.55","","2.00%"
"03/02/2021","61.33","61.33","61.33","61.33","","-1.53%"
"03/01/2021","62.28","62.28","62.28","62.28","","2.34%"
"02/26/2021","60.85","60.85","60.85","60.85","","0.03%"
"02/25/2021","60.84","60.84","60.84","60.84","","0.04%"
"02/24/2021","60.81","60.81","60.81","60.81","","0.29%"
"02/23/2021","60.63","60.63","60.63","60.63","","0.02%"
"02/22/2021","60.62","60.62","60.62","60.62","","0.70%"
"02/19/2021","60.20","60.20","60.20","60.20","","-0.66%"
"02/18/2021","60.59","60.59","60.59","60.59","","-0.49%"
"02/17/2021","60.89","60.89","60.89","60.89","","0.48%"
"02/16/2021","60.60","60.60","60.60","60.60","","0.61%"
"02/12/2021","60.23","60.23","60.23","60.23","","1.13%"
"02/11/2021","59.56","59.56","59.56","59.56","","-0.23%"
"02/10/2021","59.69","59.69","59.69","59.69","","0.10%"
"02/09/2021","59.63","59.63","59.63","59.63","","0.45%"
"02/08/2021","59.36","59.36","59.36","59.36","","1.65%"
"02/05/2021","58.40","58.40","58.40","58.40","","0.74%"
"02/04/2021","57.97","57.97","57.97","57.97","","0.48%"
"02/03/2021","57.69","57.69","57.69","57.69","","1.73%"
"02/02/2021","56.71","56.71","56.71","56.71","","1.88%"
"02/01/2021","55.66","55.66","55.66","55.66","","1.62%"
"01/29/2021","54.77","54.77","54.77","54.77","","0.02%"
"01/28/2021","54.76","54.76","54.76","54.76","","-0.09%"
"01/27/2021","54.81","54.81","54.81","54.81","","-0.02%"
"01/26/2021","54.82","54.82","54.82","54.82","","-0.08%"
"01/25/2021","54.87","54.87","54.87","54.87","","0.20%"
"01/22/2021","54.76","54.76","54.76","54.76","","-0.35%"
"01/21/2021","54.95","54.95","54.95","54.95","","-0.02%"
"01/20/2021","54.97","54.97","54.97","54.97","","0.14%"
"01/19/2021","54.89","54.89","54.89","54.89","","0.66%"
"01/15/2021","54.53","54.53","54.53","54.53","","-1.15%"
"01/14/2021","55.17","55.17","55.17","55.17","","0.37%"
"01/13/2021","54.96","54.96","54.96","54.96","","-0.73%"
"01/12/2021","55.37","55.37","55.37","55.37","","1.08%"
"01/11/2021","54.78","54.78","54.78","54.78","","-0.51%"
"01/08/2021","55.06","55.06","55.06","55.06","","2.37%"
"01/07/2021","53.78","53.78","53.78","53.78","","0.28%"
"01/06/2021","53.63","53.63","53.63","53.63","","1.50%"
"01/05/2021","52.84","52.84","52.84","52.84","","4.40%"
"01/04/2021","50.61","50.61","50.61","50.61","","1.60%"
"12/31/2020","49.81","49.81","49.81","49.81","","0.00%"
"12/30/2020","49.82","49.82","49.82","49.82","","0.07%"
"12/29/2020","49.78","49.78","49.78","49.78","","0.01%"
"12/28/2020","49.77","49.77","49.77","49.77","","-0.13%"
"12/24/2020","49.84","49.84","49.84","49.84","","0.04%"
"12/23/2020","49.81","49.81","49.81","49.81","","0.49%"
"12/22/2020","49.57","49.57","49.57","49.57","","-0.58%"
"12/21/2020","49.86","49.86","49.86","49.86","","-0.96%"
"12/18/2020","50.34","50.34","50.34","50.34","","0.53%"
"12/17/2020","50.08","50.08","50.08","50.08","","0.23%"
"12/16/2020","49.96","49.96","49.96","49.96","","0.30%"
"12/15/2020","49.81","49.81","49.81","49.81","","0.72%"
"12/14/2020","49.46","49.46","49.46","49.46","","0.48%"
"12/11/2020","49.22","49.22","49.22","49.22","","-0.13%"
"12/10/2020","49.29","49.29","49.29","49.29","","1.80%"
